fk_id_question,language,translated_question,translated_answer
47,en_US,translated question,translated question
48,de_DE,Ubersetzte Frage,Ubersetzte Antwort
49,de_DE,Ubersetzte Frage,Ubersetzte Antwort
50,en_US,translated question,translated question
51,de_DE,Ubersetzte Frage,Ubersetzte Antwort
52,en_US,translated question,translated question
53,en_US,translated question,translated question
54,de_DE,Ubersetzte Frage,Ubersetzte Antwort
55,de_DE,Ubersetzte Frage,Ubersetzte Antwort
56,en_US,translated question,translated question
57,en_US,translated question,translated question
58,en_US,translated question,translated question
59,en_US,translated question,translated question
60,de_DE,Ubersetzte Frage,Ubersetzte Antwort
61,en_US,translated question,translated question
62,de_DE,Ubersetzte Frage,Ubersetzte Antwort
63,en_US,translated question,translated question
64,de_DE,Ubersetzte Frage,Ubersetzte Antwort
65,en_US,translated question,translated question
66,de_DE,Ubersetzte Frage,Ubersetzte Antwort
67,de_DE,Ubersetzte Frage,Ubersetzte Antwort
68,en_US,translated question,translated question
69,de_DE,Ubersetzte Frage,Ubersetzte Antwort
70,de_DE,Ubersetzte Frage,Ubersetzte Antwort
71,de_DE,Ubersetzte Frage,Ubersetzte Antwort
72,de_DE,Ubersetzte Frage,Ubersetzte Antwort
73,de_DE,Ubersetzte Frage,Ubersetzte Antwort
74,de_DE,Ubersetzte Frage,Ubersetzte Antwort
75,en_US,translated question,translated question
76,de_DE,Ubersetzte Frage,Ubersetzte Antwort
77,en_US,translated question,translated question
78,en_US,translated question,translated question
79,de_DE,Ubersetzte Frage,Ubersetzte Antwort
80,en_US,translated question,translated question
81,de_DE,Ubersetzte Frage,Ubersetzte Antwort
82,de_DE,Ubersetzte Frage,Ubersetzte Antwort
83,de_DE,Ubersetzte Frage,Ubersetzte Antwort
84,en_US,translated question,translated question
85,de_DE,Ubersetzte Frage,Ubersetzte Antwort
86,en_US,translated question,translated question
87,en_US,translated question,translated question
88,en_US,translated question,translated question
89,de_DE,Ubersetzte Frage,Ubersetzte Antwort
90,en_US,translated question,translated question
91,de_DE,Ubersetzte Frage,Ubersetzte Antwort
92,en_US,translated question,translated question
93,de_DE,Ubersetzte Frage,Ubersetzte Antwort
94,de_DE,Ubersetzte Frage,Ubersetzte Antwort
95,de_DE,Ubersetzte Frage,Ubersetzte Antwort
96,en_US,translated question,translated question
97,de_DE,Ubersetzte Frage,Ubersetzte Antwort
98,de_DE,Ubersetzte Frage,Ubersetzte Antwort
99,de_DE,Ubersetzte Frage,Ubersetzte Antwort
100,en_US,translated question,translated question
101,de_DE,Ubersetzte Frage,Ubersetzte Antwort
102,en_US,translated question,translated question
103,de_DE,Ubersetzte Frage,Ubersetzte Antwort
104,de_DE,Ubersetzte Frage,Ubersetzte Antwort
105,de_DE,Ubersetzte Frage,Ubersetzte Antwort
106,en_US,translated question,translated question
107,en_US,translated question,translated question
108,de_DE,Ubersetzte Frage,Ubersetzte Antwort
109,en_US,translated question,translated question
110,en_US,translated question,translated question
111,en_US,translated question,translated question
112,de_DE,Ubersetzte Frage,Ubersetzte Antwort
113,de_DE,Ubersetzte Frage,Ubersetzte Antwort
114,de_DE,Ubersetzte Frage,Ubersetzte Antwort
115,en_US,translated question,translated question
116,de_DE,Ubersetzte Frage,Ubersetzte Antwort
117,de_DE,Ubersetzte Frage,Ubersetzte Antwort
118,de_DE,Ubersetzte Frage,Ubersetzte Antwort
119,en_US,translated question,translated question
120,en_US,translated question,translated question
121,en_US,translated question,translated question
122,en_US,translated question,translated question
123,en_US,translated question,translated question
124,de_DE,Ubersetzte Frage,Ubersetzte Antwort
125,de_DE,Ubersetzte Frage,Ubersetzte Antwort
126,en_US,translated question,translated question
127,en_US,translated question,translated question
128,en_US,translated question,translated question
129,de_DE,Ubersetzte Frage,Ubersetzte Antwort
130,en_US,translated question,translated question
131,en_US,translated question,translated question
132,de_DE,Ubersetzte Frage,Ubersetzte Antwort
133,de_DE,Ubersetzte Frage,Ubersetzte Antwort
134,en_US,translated question,translated question
135,de_DE,Ubersetzte Frage,Ubersetzte Antwort
136,en_US,translated question,translated question
137,en_US,translated question,translated question
138,en_US,translated question,translated question
139,en_US,translated question,translated question
140,en_US,translated question,translated question
